"Date","Alcohol","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","End.of.Night","Rise.Time","Morning.Feel"
"2013-08-28","TRUE",87,490,17,42,161,266,63,8,1475,"08/29/2013 06:44","08/29/2013 06:45",2
"2013-08-28","FALSE",87,490,17,42,161,266,63,8,1475,"08/29/2013 06:44","08/29/2013 06:45",2
"2013-08-29","FALSE",109,612,16,15,187,357,69,8,1400,"08/30/2013 07:08","08/30/2013 07:10",2
"2013-08-30","FALSE",68,410,37,29,121,249,41,9,1450,"08/31/2013 05:17","08/31/2013 04:40",3
"2013-08-31","FALSE",119,640,14,9,220,345,76,5,1355,"09/01/2013 06:45","09/01/2013 06:35",3
"2013-09-01","FALSE",84,465,33,5,152,261,52,6,1435,"09/02/2013 05:40","09/02/2013 05:20",3
"2013-09-02","FALSE",100,563,12,14,184,319,60,8,1440,"09/03/2013 06:53","09/03/2013 06:50",3
"2013-09-03","FALSE",97,539,11,8,184,305,51,5,1445,"09/04/2013 06:36","09/04/2013 06:20",3
"2013-09-04","FALSE",102,569,16,21,219,289,62,10,1415,"09/05/2013 06:51","09/05/2013 06:40",2
"2013-09-05","FALSE",102,572,15,16,163,347,62,5,1400,"09/06/2013 06:51","09/06/2013 06:55",2
"2013-09-06","FALSE",103,584,5,19,193,319,72,13,1410,"09/07/2013 06:46","09/07/2013 06:40",3
"2013-09-07","FALSE",98,535,17,10,161,311,63,3,1410,"09/08/2013 05:53","09/08/2013 05:50",4
"2013-09-08","FALSE",36,175,25,1,33,96,47,1,1390,"09/08/2013 11:32","09/08/2013 11:35",0
"2013-09-09","FALSE",96,526,26,11,187,293,46,2,1400,"09/10/2013 05:52","09/10/2013 05:30",3
"2013-09-10","FALSE",96,536,12,28,195,279,63,9,1400,"09/11/2013 06:04","09/11/2013 05:50",3
"2013-09-11","FALSE",89,491,15,17,184,247,60,9,1455,"09/12/2013 06:12","09/12/2013 05:55",3
"2013-09-12","FALSE",97,535,6,14,165,305,65,5,1395,"09/13/2013 05:38","09/13/2013 05:20",2
"2013-09-13","FALSE",97,523,13,8,159,296,68,4,1410,"09/14/2013 05:36","09/14/2013 05:40",3
"2013-09-14","FALSE",100,540,20,9,189,289,63,4,1420,"09/15/2013 06:23","09/15/2013 06:10",4
"2013-09-15","FALSE",98,547,20,18,149,327,71,6,1385,"09/16/2013 05:54","09/16/2013 05:45",2
"2013-09-16","FALSE",94,521,9,17,182,281,59,6,1405,"09/17/2013 05:47","09/17/2013 05:30",3
"2013-09-17","FALSE",101,550,16,22,179,297,75,6,1370,"09/18/2013 05:41","09/18/2013 05:45",3
"2013-09-18","FALSE",102,547,3,16,189,291,68,3,1400,"09/19/2013 05:59","09/19/2013 05:30",3
"2013-09-19","FALSE",94,509,10,17,188,258,64,7,1415,"09/20/2013 05:41","09/20/2013 05:25",3
"2013-09-20","FALSE",89,476,19,18,157,258,62,2,1410,"09/21/2013 05:21","09/21/2013 05:25",3
"2013-09-21","FALSE",104,555,4,8,187,298,71,3,1400,"09/22/2013 05:58","09/22/2013 05:50",4
"2013-09-22","FALSE",100,537,20,14,160,303,75,4,1405,"09/23/2013 06:02","09/23/2013 06:05",2
"2013-09-23","FALSE",88,490,13,27,150,278,62,6,1395,"09/24/2013 05:19","09/24/2013 05:05",3
"2013-09-23","TRUE",88,490,13,27,150,278,62,6,1395,"09/24/2013 05:19","09/24/2013 05:05",3
"2013-09-24","FALSE",106,579,11,22,210,297,73,8,1395,"09/25/2013 06:33","09/25/2013 06:30",3
"2013-09-25","FALSE",104,589,14,18,195,335,59,7,1390,"09/26/2013 06:39","09/26/2013 06:35",2
"2013-09-26","FALSE",93,511,20,5,174,290,47,3,1395,"09/27/2013 05:19","09/27/2013 05:10",3
"2013-09-27","FALSE",99,540,17,25,195,281,65,6,1390,"09/28/2013 05:55","09/28/2013 06:00",2
"2013-09-28","FALSE",113,593,2,10,235,285,73,4,1360,"09/29/2013 05:56","09/29/2013 05:45",3
"2013-09-29","FALSE",91,508,19,23,197,257,55,9,1410,"09/30/2013 05:49","09/30/2013 05:40",4
"2013-09-30","FALSE",96,541,9,13,167,311,64,9,1400,"10/01/2013 05:48","10/01/2013 05:40",4
"2013-10-01","FALSE",93,514,22,13,172,285,57,5,1395,"10/02/2013 05:32","10/02/2013 05:15",3
"2013-10-02","FALSE",68,360,27,13,121,191,49,1,1490,"10/03/2013 04:32","10/03/2013 04:10",3
"2013-10-03","FALSE",61,354,53,38,98,207,49,6,1400,"10/04/2013 03:51","10/04/2013 02:55",1
"2013-10-04","FALSE",94,490,2,6,146,267,77,2,1410,"10/05/2013 04:55","10/05/2013 04:40",3
"2013-10-05","FALSE",95,504,7,4,143,289,72,2,1390,"10/06/2013 04:49","10/06/2013 04:45",4
"2013-10-06","FALSE",97,519,2,13,177,275,68,4,1440,"10/07/2013 06:07","10/07/2013 05:45",3
"2013-10-07","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-10-08","FALSE",12,75,1,6,48,27,1,3,1195,"10/08/2013 06:19","10/08/2013 06:10",0
"2013-10-08","FALSE",122,664,3,5,177,411,76,1,1375,"10/09/2013 07:09","10/09/2013 07:10",3
"2013-10-09","FALSE",104,557,12,4,175,314,68,2,1400,"10/10/2013 06:00","10/10/2013 05:50",4
"2013-10-10","FALSE",103,574,31,37,200,305,70,9,1345,"10/11/2013 06:13","10/11/2013 06:15",3
"2013-10-11","FALSE",100,547,21,16,175,308,65,4,1375,"10/12/2013 05:45","10/12/2013 05:25",3
"2013-10-12","FALSE",96,551,24,33,178,315,59,9,1395,"10/13/2013 06:25","10/13/2013 06:30",4
"2013-10-13","FALSE",92,503,31,14,162,279,63,6,1445,"10/14/2013 06:13","10/14/2013 06:15",2
"2013-10-14","FALSE",111,596,21,11,216,316,64,3,1395,"10/15/2013 06:48","10/15/2013 06:50",2
"2013-10-15","FALSE",88,490,35,24,150,272,68,9,1405,"10/16/2013 05:47","10/16/2013 05:25",3
"2013-10-16","FALSE",90,517,34,32,182,273,63,13,1405,"10/17/2013 06:13","10/17/2013 05:55",1
"2013-10-17","FALSE",86,479,30,31,159,258,63,7,1390,"10/18/2013 05:15","10/18/2013 04:50",2
"2013-10-18","FALSE",85,479,4,32,134,290,55,4,1415,"10/19/2013 05:33","10/19/2013 04:55",4
"2013-10-19","FALSE",107,554,16,7,181,293,81,2,1395,"10/20/2013 05:54","10/20/2013 05:45",4
"2013-10-20","FALSE",96,529,27,7,172,302,56,4,1385,"10/21/2013 05:30","10/21/2013 05:20",3
"2013-10-21","FALSE",104,582,18,12,174,347,62,6,1410,"10/22/2013 06:43","10/22/2013 06:45",3
"2013-10-22","FALSE",97,529,20,9,175,290,65,6,1400,"10/23/2013 05:50","10/23/2013 05:35",3
"2013-10-23","FALSE",90,508,25,54,184,262,62,7,1380,"10/24/2013 06:36","10/24/2013 06:40",2
"2013-10-24","FALSE",92,510,16,27,165,272,74,9,1475,"10/25/2013 06:53","10/25/2013 06:45",3
"2013-10-25","FALSE",65,362,11,16,64,241,58,4,1410,"10/26/2013 05:31","10/26/2013 05:15",0
"2013-10-26","FALSE",98,545,25,13,135,345,65,3,1390,"10/27/2013 06:35","10/27/2013 06:35",3
"2013-10-27","FALSE",94,524,15,29,172,288,64,6,1395,"10/28/2013 05:48","10/28/2013 05:45",4
"2013-10-28","FALSE",93,525,5,20,171,299,56,7,1405,"10/29/2013 05:43","10/29/2013 05:30",3
"2013-10-29","FALSE",68,383,35,68,122,194,67,7,1420,"10/30/2013 04:59","10/30/2013 04:40",2
"2013-10-30","FALSE",109,586,12,21,195,315,77,5,1390,"10/31/2013 06:41","10/31/2013 06:30",4
"2013-10-31","FALSE",88,493,22,22,177,259,57,9,1400,"11/01/2013 05:23","11/01/2013 05:05",2
"2013-11-01","FALSE",99,550,2,25,205,283,63,8,1380,"11/02/2013 05:52","11/02/2013 05:30",3
"2013-11-02","TRUE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-11-02","FALSE","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2013-11-03","FALSE",81,424,16,65,129,209,87,3,1335,"11/04/2013 04:14","11/04/2013 04:15",0
"2013-11-04","FALSE",88,479,18,28,155,258,67,6,1320,"11/05/2013 03:55","11/05/2013 03:45",3
"2013-11-05","FALSE",84,472,15,19,160,261,52,7,1345,"11/06/2013 03:55","11/06/2013 03:40",3
"2013-11-06","FALSE",95,508,16,17,153,280,75,4,1315,"11/07/2013 04:01","11/07/2013 03:45",3
"2013-11-07","FALSE",80,460,22,60,172,238,50,7,1325,"11/08/2013 04:11","11/08/2013 04:10",2
"2013-11-08","FALSE",105,548,10,8,182,293,74,2,1315,"11/09/2013 04:29","11/09/2013 04:05",4
