"ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Start.of.Night","Morning.Feel"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,591,2,7,172,331,88,3,1440,3
98,555,2,28,144,337,74,8,1460,2
91,507,41,33,179,263,66,8,1465,3
115,630,2,16,181,370,79,5,1450,4
100,571,21,22,178,324,70,12,1435,4
99,564,52,23,184,332,49,5,1415,3
88,545,2,66,167,330,48,11,1465,3
81,448,1,33,165,224,60,8,1595,2
135,689,8,2,196,375,118,3,1430,4
105,562,17,20,182,298,83,7,1450,3
86,505,57,54,138,301,66,10,1435,2
89,521,33,39,168,296,57,11,1455,3
92,539,15,27,167,324,49,9,1480,3
94,541,20,49,174,298,69,10,1465,4
91,507,33,16,147,298,62,5,1455,3
115,633,18,20,227,336,71,8,1420,4
94,567,48,55,130,362,76,13,1450,3
93,564,22,35,170,347,47,11,1435,3
89,486,53,12,133,281,73,6,1415,2
95,525,52,17,180,281,65,8,1405,2
95,531,36,16,178,295,58,7,1460,3
84,493,18,34,157,274,63,13,1460,3
80,455,21,9,137,271,48,6,1445,3
103,571,10,17,185,313,73,9,1465,4
91,500,23,11,150,284,66,6,1495,4
25,104,16,0,8,49,47,0,1545,3
90,482,31,20,161,251,70,6,1485,1
102,518,28,4,165,263,90,4,1450,3
93,506,25,18,168,271,67,6,1440,3
84,458,22,7,123,263,73,8,1440,2
109,586,14,16,226,282,78,9,1450,4
101,536,14,8,163,289,84,6,1450,3
96,512,31,12,173,268,72,5,1440,3
92,509,19,18,166,284,59,5,1450,3
91,510,15,36,151,283,76,10,1415,2
102,535,17,7,161,294,81,3,1420,3
71,398,28,6,85,262,52,4,1390,2
97,541,19,40,175,290,77,10,1420,4
86,484,30,13,126,299,59,6,1410,2
112,587,22,5,205,297,85,5,1370,4
83,467,14,16,156,259,53,7,1455,3
93,521,25,27,181,281,60,7,1430,3
95,509,14,13,163,277,70,5,1450,3
94,524,18,15,163,301,61,6,1455,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,450,38,36,131,257,62,6,1445,2
92,503,33,14,166,287,51,2,1435,3
96,545,19,20,163,313,69,10,1425,3
89,497,26,16,167,276,54,6,1480,3
109,593,18,20,194,329,71,5,1400,3
77,432,24,17,137,249,46,5,1565,2
115,616,7,19,197,327,93,8,1450,1
85,486,13,28,156,282,49,6,1505,2
93,538,20,32,167,316,55,7,1480,2
96,554,30,32,186,307,62,12,1455,3
76,412,30,11,120,235,58,4,1465,2
91,513,16,25,161,287,66,9,1435,3
63,374,68,86,104,216,55,5,1445,1
103,598,20,34,174,357,68,10,1445,4
93,518,35,11,161,296,61,6,1470,3
82,476,87,20,149,274,54,11,1460,3
86,508,30,38,152,292,65,13,1475,4
93,515,25,38,135,310,71,3,1455,3
98,538,22,11,185,293,60,5,1450,3
105,576,27,12,217,294,65,9,1465,2
92,485,53,18,162,235,88,9,1425,2
105,583,20,15,206,312,65,8,1420,2
79,472,29,45,158,267,47,10,1470,2
90,499,28,21,170,265,64,8,1465,3
86,469,66,17,139,260,70,6,1440,1
93,520,18,49,171,266,83,12,1425,3
89,495,21,25,142,275,78,10,1450,3
95,518,41,14,161,289,68,5,1450,3
98,538,25,8,164,312,63,4,1445,4
88,494,52,25,160,285,50,4,1435,3
97,554,20,31,168,315,71,11,1440,3
54,313,2,31,133,156,24,4,1660,2
103,558,29,16,184,300,74,6,1450,3
92,541,16,46,177,296,69,15,1445,3
103,555,19,6,163,312,80,6,1440,4
99,561,27,29,201,297,64,11,1455,4
101,553,26,12,174,309,71,6,1475,2
81,454,20,41,147,247,60,6,1505,2
103,553,16,9,174,309,71,4,1435,3
88,500,24,40,155,285,60,6,1440,3
90,511,22,10,145,313,53,5,1450,2
73,396,31,8,88,244,65,4,1430,2
118,650,11,19,233,347,70,7,1370,4
83,485,26,34,138,288,60,10,1430,3
95,543,12,14,168,317,59,10,1385,3
98,539,30,12,207,275,57,8,1375,3
87,486,27,13,171,265,50,6,1450,2
88,505,22,25,162,281,63,12,1450,3
92,524,24,17,139,320,65,9,1435,2
76,427,31,10,115,269,43,2,1435,2
101,552,15,24,163,309,81,7,1455,3
84,486,20,32,137,288,62,9,1445,2
100,547,17,16,189,292,67,7,1455,3
97,567,24,26,173,337,57,10,1425,2
95,547,23,28,173,321,54,8,1455,3
98,550,22,20,159,321,70,8,1415,2
84,461,20,24,164,237,60,6,1485,3
95,506,26,12,151,281,75,5,1430,2
81,470,21,50,142,270,58,7,1485,3
91,510,23,24,167,284,59,7,1475,2
90,519,23,31,170,291,59,11,1465,3
87,474,27,13,151,254,69,8,1495,3
85,484,16,15,145,284,55,8,1485,3
84,486,28,23,145,292,50,8,1475,2
98,528,26,17,199,262,67,7,1440,3
85,468,19,28,150,258,61,5,1480,3
84,466,21,26,180,227,60,10,1490,2
111,597,10,9,207,317,73,6,1455,3
91,512,26,22,177,283,53,6,1475,1
81,472,16,35,116,296,60,8,1445,2
97,542,23,19,212,279,51,7,1445,3
107,569,15,14,205,294,71,4,1455,3
91,539,26,29,184,302,54,13,1460,3
84,497,14,27,139,313,46,8,1415,3
84,477,24,25,163,265,50,7,1490,2
85,520,40,31,160,318,43,12,1420,2
68,420,17,50,138,238,45,12,1510,3
93,520,12,18,179,291,51,6,1520,3
88,522,34,56,151,306,66,11,1465,1
104,575,22,23,184,322,70,6,1510,3
88,525,32,34,157,317,51,11,1465,2
88,524,25,41,175,292,57,13,1515,3
97,542,28,6,148,334,60,4,1460,3
95,551,28,24,194,299,58,12,1475,4
64,368,57,13,99,222,48,7,1465,1
86,466,23,7,94,301,72,3,1410,3
89,505,19,30,142,290,74,11,1460,4
76,461,61,98,150,255,56,8,1365,1
95,525,30,17,172,292,61,5,1405,4
96,523,21,10,171,285,67,6,1405,3
88,490,25,14,168,264,58,8,1415,4
98,535,20,10,204,267,65,9,1375,3
99,542,19,9,153,317,72,6,1400,3
99,527,19,13,181,275,71,5,1405,2
86,490,16,24,168,264,59,10,1445,3
109,604,19,13,219,324,62,7,1410,2
29,146,32,0,20,94,33,0,1420,NA
93,556,22,35,174,324,58,13,1430,3
96,513,23,10,175,271,68,4,1400,4
97,546,17,17,166,320,61,7,1400,2
100,578,22,30,185,328,65,12,1410,4
88,508,22,31,150,299,59,9,1420,3
95,525,20,14,162,300,63,6,1390,3
91,525,18,31,164,297,65,11,1420,3
88,492,21,17,161,267,65,10,1415,4
106,567,16,16,202,283,83,8,1415,4
45,310,76,191,114,157,40,4,1410,1
101,535,14,13,208,258,69,6,1445,3
86,454,20,16,163,220,71,6,1445,2
96,557,25,14,174,332,52,10,1425,3
107,587,13,15,188,326,73,7,1435,3
100,565,20,22,179,328,59,6,1415,3
85,490,27,21,166,269,55,11,1505,2
94,531,17,20,161,318,53,5,1425,3
100,563,31,29,195,304,64,9,1450,4
90,506,25,13,150,297,60,7,1475,3
95,539,34,17,179,307,53,7,1425,3
102,570,15,26,199,315,57,6,1425,2
98,544,25,19,195,283,67,9,1450,3
89,493,45,17,151,286,56,4,1445,3
91,514,30,7,163,302,49,5,1460,3
98,570,32,34,212,302,56,12,1460,4
102,573,12,18,170,326,77,11,1470,2
87,484,51,28,146,265,73,10,1450,2
94,549,17,48,197,293,60,12,1450,2
100,541,30,13,173,296,72,5,1435,3
94,532,31,19,146,317,69,9,1445,3
96,568,38,33,213,302,54,15,1445,3
101,569,33,21,208,305,56,9,1435,4
101,540,43,9,211,265,65,6,1470,4
89,499,39,17,179,265,56,8,1460,1
98,565,17,29,223,281,61,16,1435,3
97,565,40,9,171,349,45,7,1435,3
98,538,45,22,190,285,64,7,1460,3
88,507,27,20,175,290,42,6,1465,4
93,531,32,26,161,315,56,6,1445,3
87,504,23,35,148,302,55,8,1470,4
93,515,31,25,192,265,59,7,1440,3
101,568,30,30,172,317,80,11,1460,3
92,536,23,32,186,295,56,12,1440,1
64,408,26,53,110,259,39,11,1485,1
92,479,18,10,167,235,77,5,1470,2
95,529,28,20,186,285,58,7,1475,3
73,393,29,6,118,216,59,6,1460,2
92,518,21,11,147,311,60,6,1460,3
92,500,32,27,171,259,70,7,1490,3
94,517,20,17,155,298,64,5,1450,4
96,551,24,11,188,323,40,5,1455,3
100,531,15,7,176,283,72,4,1480,3
96,520,18,6,169,290,62,4,1485,3
92,504,28,14,153,283,69,7,1465,2
91,497,50,9,177,267,54,5,1490,2
103,546,15,9,179,291,76,5,1455,3
93,520,26,13,181,291,49,5,1465,4
90,511,16,10,154,300,58,8,1460,4
70,448,135,17,93,327,29,8,1490,1
123,695,17,25,227,402,67,7,1375,4
104,555,16,27,173,300,82,4,1450,4
96,520,31,14,184,270,67,7,1465,3
96,526,42,14,180,287,59,4,1450,4
93,515,20,17,157,291,67,8,1465,3
96,557,25,44,209,281,67,15,1455,3
105,582,23,24,191,320,71,7,1455,3
92,526,29,33,180,288,59,10,1450,3
88,480,24,10,164,253,64,7,1465,3
88,483,21,8,144,268,72,9,1610,2
76,435,31,18,135,258,42,4,1505,3
82,459,18,20,137,267,55,6,1465,3
100,534,19,12,183,282,70,5,1485,2
105,558,11,16,187,289,82,7,1465,3
97,571,31,39,179,331,62,12,1465,3
99,527,15,19,195,253,80,8,1480,2
95,540,23,23,178,312,50,6,1500,3
108,594,32,26,213,299,82,12,1460,4
96,531,40,28,184,277,70,9,1470,2
99,562,30,22,183,320,59,8,1480,2
93,521,33,19,162,299,60,6,1475,3
80,501,24,88,145,298,58,12,1450,1
95,563,24,35,141,361,62,10,1465,3
95,541,21,29,175,306,60,8,1490,3
97,526,54,24,197,262,68,7,1460,2
94,490,16,6,129,283,79,2,1470,3
93,482,33,6,150,258,75,3,1460,3
61,325,41,26,121,143,61,8,1655,2
112,613,17,7,176,359,79,6,1475,2
107,571,33,15,207,288,76,6,1510,3
101,550,25,9,200,285,65,7,1480,4
114,626,18,10,218,338,71,8,1480,3
91,493,26,10,149,281,63,4,1520,2
90,518,33,16,160,310,48,7,1475,1
98,527,32,13,174,280,74,7,1500,3
93,504,21,8,146,289,70,5,1475,3
87,458,34,1,137,258,63,2,1490,3
98,517,16,15,164,266,88,7,1470,3
81,471,29,20,136,286,49,8,1520,2
110,607,17,17,197,329,82,10,1470,4
93,521,36,24,169,283,69,9,1490,2
75,376,21,19,131,171,74,4,1495,3
99,541,29,16,169,298,75,7,1470,3
